commodity,measure,year,price,citation,citation_date
peas,boisseau,1611,22,"B249, f.59",29/11/11
beans,boisseau,1611,16,"B249, f.59",29/11/11
lentils,boisseau,1611,15,"B249, f.59",29/11/11
rapeseed,boisseau,1611,32,"B249, f.59",29/11/11
Dijon best wine,queue,1611,320,"B249, f.59",29/11/11
village best wine,queue,1611,240,"B249, f.59",29/11/11
village good wine,queue,1611,200,"B249, f.59",29/11/11
walnut oil,pint,1611,15,"B249, f.59",29/11/11
rapeseed oil,pint,1611,16,"B249, f.59",29/11/11
hempseed oil,pint,1611,12,"B249, f.59",29/11/11
wax,pound,1611,20,"B249, f.59",29/11/11
chickpeas,boisseau,1611,15,"B249, f.59",29/11/11
best wheat,quarteranche,1612,21,"B250, f.124",29/11/12
good wheat,quarteranche,1612,18,"B250, f.124",29/11/12
mixed grain,quarteranche,1612,15,"B250, f.124",29/11/12
rye,quarteranche,1612,13,"B250, f.124",29/11/12
barley,boisseau,1612,8,"B250, f.124",29/11/12
oats,boisseau,1612,6,"B250, f.124",29/11/12
hempseed,boisseau,1612,20,"B250, f.124",29/11/12
peas,boisseau,1612,21,"B250, f.124",29/11/12
beans,boisseau,1612,18,"B250, f.124",29/11/12
lentils,boisseau,1612,15,"B250, f.124",29/11/12
rapeseed,boisseau,1612,32,"B250, f.124",29/11/12
Dijon best wine,queue,1612,700,"B250, f.124",29/11/12
village best wine,queue,1612,440,"B250, f.124",29/11/12
village good wine,queue,1612,380,"B250, f.124",29/11/12
walnut oil,pint,1612,16,"B250, f.124",29/11/12
rapeseed oil,pint,1612,12,"B250, f.124",29/11/12
hempseed oil,pint,1612,14,"B250, f.124",29/11/12
wax,pound,1612,20,"B250, f.124",29/11/12
chickpeas,boisseau,1612,15,"B250, f.124",29/11/12
best wheat,quarteranche,1613,22,"B251, f.133v",22/11/13
good wheat,quarteranche,1613,19,"B251, f.133v",22/11/13
mixed grain,quarteranche,1613,16,"B251, f.133v",22/11/13
rye,quarteranche,1613,13,"B251, f.133v",22/11/13
barley,boisseau,1613,8,"B251, f.133v",22/11/13
oats,boisseau,1613,6,"B251, f.133v",22/11/13
hempseed,boisseau,1613,25,"B251, f.133v",22/11/13
peas,boisseau,1613,20,"B251, f.133v",22/11/13
beans,boisseau,1613,17,"B251, f.133v",22/11/13
lentils,boisseau,1613,15,"B251, f.133v",22/11/13
rapeseed,boisseau,1613,36,"B251, f.133v",22/11/13
Dijon best wine,queue,1613,1080,"B251, f.133v",22/11/13
village best wine,queue,1613,720,"B251, f.133v",22/11/13
village good wine,queue,1613,600,"B251, f.133v",22/11/13
walnut oil,pint,1613,20,"B251, f.133v",22/11/13
rapeseed oil,pint,1613,13,"B251, f.133v",22/11/13
hempseed oil,pint,1613,16,"B251, f.133v",22/11/13
wax,pound,1613,20,"B251, f.133v",22/11/13
chickpeas,boisseau,1613,14,"B251, f.133v",22/11/13
best wheat,quarteranche,1614,27,"B252, f.148",21/11/14
good wheat,quarteranche,1614,24,"B252, f.148",21/11/14
mixed grain,quarteranche,1614,22,"B252, f.148",21/11/14
rye,quarteranche,1614,20,"B252, f.148",21/11/14
barley,boisseau,1614,12,"B252, f.148",21/11/14
oats,boisseau,1614,6,"B252, f.148",21/11/14
hempseed,boisseau,1614,20,"B252, f.148",21/11/14
peas,boisseau,1614,20,"B252, f.148",21/11/14
beans,boisseau,1614,15,"B252, f.148",21/11/14
lentils,boisseau,1614,13,"B252, f.148",21/11/14
rapeseed,boisseau,1614,40,"B252, f.148",21/11/14
Dijon best wine,queue,1614,960,"B252, f.148",21/11/14
village best wine,queue,1614,640,"B252, f.148",21/11/14
village good wine,queue,1614,500,"B252, f.148",21/11/14
walnut oil,pint,1614,16,"B252, f.148",21/11/14
rapeseed oil,pint,1614,13,"B252, f.148",21/11/14
hempseed oil,pint,1614,14,"B252, f.148",21/11/14
wax,pound,1614,18,"B252, f.148",21/11/14
chickpeas,boisseau,1614,12,"B252, f.148",21/11/14
best wheat,quarteranche,1615,22.5,"B253, f.183v",28/11/15
good wheat,quarteranche,1615,20,"B253, f.183v",28/11/15
mixed grain,quarteranche,1615,18,"B253, f.183v",28/11/15
rye,quarteranche,1615,17,"B253, f.183v",28/11/15
barley,boisseau,1615,11,"B253, f.183v",28/11/15
oats,boisseau,1615,7.5,"B253, f.183v",28/11/15
hempseed,boisseau,1615,20,"B253, f.183v",28/11/15
peas,boisseau,1615,22.5,"B253, f.183v",28/11/15
beans,boisseau,1615,18,"B253, f.183v",28/11/15
lentils,boisseau,1615,16,"B253, f.183v",28/11/15
rapeseed,boisseau,1615,30,"B253, f.183v",28/11/15
Dijon best wine,queue,1615,720,"B253, f.183v",28/11/15
village best wine,queue,1615,480,"B253, f.183v",28/11/15
village good wine,queue,1615,400,"B253, f.183v",28/11/15
walnut oil,pint,1615,16,"B253, f.183v",28/11/15
rapeseed oil,pint,1615,12,"B253, f.183v",28/11/15
hempseed oil,pint,1615,14,"B253, f.183v",28/11/15
wax,pound,1615,15,"B253, f.183v",28/11/15
chickpeas,boisseau,1615,12,"B253, f.183v",28/11/15
best wheat,quarteranche,1616,20,"B254, f.136",22/11/16
good wheat,quarteranche,1616,18,"B254, f.136",22/11/16
mixed grain,quarteranche,1616,15,"B254, f.136",22/11/16
rye,quarteranche,1616,13,"B254, f.136",22/11/16
barley,boisseau,1616,10,"B254, f.136",22/11/16
oats,boisseau,1616,8,"B254, f.136",22/11/16
hempseed,boisseau,1616,16,"B254, f.136",22/11/16
peas,boisseau,1616,20,"B254, f.136",22/11/16
beans,boisseau,1616,18,"B254, f.136",22/11/16
lentils,boisseau,1616,16,"B254, f.136",22/11/16
rapeseed,boisseau,1616,30,"B254, f.136",22/11/16
Dijon best wine,queue,1616,420,"B254, f.136",22/11/16
village best wine,queue,1616,300,"B254, f.136",22/11/16
village good wine,queue,1616,240,"B254, f.136",22/11/16
walnut oil,pint,1616,15,"B254, f.136",22/11/16
rapeseed oil,pint,1616,12,"B254, f.136",22/11/16
hempseed oil,pint,1616,12,"B254, f.136",22/11/16
wax,pound,1616,16,"B254, f.136",22/11/16
chickpeas,boisseau,1616,12,"B254, f.136",22/11/16
best wheat,quarteranche,1617,20,"B255, f.136",21/11/17
good wheat,quarteranche,1617,17,"B255, f.136",21/11/17
mixed grain,quarteranche,1617,14,"B255, f.136",21/11/17
rye,quarteranche,1617,12,"B255, f.136",21/11/17
barley,boisseau,1617,8,"B255, f.136",21/11/17
oats,boisseau,1617,6.5,"B255, f.136",21/11/17
hempseed,boisseau,1617,12,"B255, f.136",21/11/17
peas,boisseau,1617,20,"B255, f.136",21/11/17
beans,boisseau,1617,15,"B255, f.136",21/11/17
lentils,boisseau,1617,16,"B255, f.136",21/11/17
rapeseed,boisseau,1617,24,"B255, f.136",21/11/17
Dijon best wine,queue,1617,800,"B255, f.136",21/11/17
village best wine,queue,1617,540,"B255, f.136",21/11/17
village good wine,queue,1617,480,"B255, f.136",21/11/17
walnut oil,pint,1617,16,"B255, f.136",21/11/17
rapeseed oil,pint,1617,13,"B255, f.136",21/11/17
hempseed oil,pint,1617,13,"B255, f.136",21/11/17
wax,pound,1617,20,"B255, f.136",21/11/17
chickpeas,boisseau,1617,12,"B255, f.136",21/11/17
best wheat,quarteranche,1618,20,"B256, f.173v",20/11/18
good wheat,quarteranche,1618,18,"B256, f.173v",20/11/18
mixed grain,quarteranche,1618,15,"B256, f.173v",20/11/18
rye,quarteranche,1618,12,"B256, f.173v",20/11/18
barley,boisseau,1618,8,"B256, f.173v",20/11/18
oats,boisseau,1618,7,"B256, f.173v",20/11/18
hempseed,boisseau,1618,12,"B256, f.173v",20/11/18
peas,boisseau,1618,18,"B256, f.173v",20/11/18
beans,boisseau,1618,13,"B256, f.173v",20/11/18
lentils,boisseau,1618,16,"B256, f.173v",20/11/18
rapeseed,boisseau,1618,25,"B256, f.173v",20/11/18
Dijon best wine,queue,1618,600,"B256, f.173v",20/11/18
village best wine,queue,1618,400,"B256, f.173v",20/11/18
village good wine,queue,1618,360,"B256, f.173v",20/11/18
walnut oil,pint,1618,14,"B256, f.173v",20/11/18
rapeseed oil,pint,1618,12,"B256, f.173v",20/11/18
hempseed oil,pint,1618,10,"B256, f.173v",20/11/18
wax,pound,1618,18,"B256, f.173v",20/11/18
chickpeas,boisseau,1618,12,"B256, f.173v",20/11/18
best wheat,quarteranche,1619,24,"B257, f.148",22/11/19
good wheat,quarteranche,1619,22,"B257, f.148",22/11/19
mixed grain,quarteranche,1619,18,"B257, f.148",22/11/19
rye,quarteranche,1619,15,"B257, f.148",22/11/19
barley,boisseau,1619,10,"B257, f.148",22/11/19
oats,boisseau,1619,7,"B257, f.148",22/11/19
hempseed,boisseau,1619,24,"B257, f.148",22/11/19
peas,boisseau,1619,20,"B257, f.148",22/11/19
beans,boisseau,1619,15,"B257, f.148",22/11/19
lentils,boisseau,1619,16,"B257, f.148",22/11/19
rapeseed,boisseau,1619,24,"B257, f.148",22/11/19
Dijon best wine,queue,1619,660,"B257, f.148",22/11/19
village best wine,queue,1619,480,"B257, f.148",22/11/19
village good wine,queue,1619,400,"B257, f.148",22/11/19
walnut oil,pint,1619,15,"B257, f.148",22/11/19
rapeseed oil,pint,1619,12,"B257, f.148",22/11/19
hempseed oil,pint,1619,15,"B257, f.148",22/11/19
wax,pound,1619,18,"B257, f.148",22/11/19
chickpeas,boisseau,1619,13,"B257, f.148",22/11/19
best wheat,quarteranche,1620,26,"B258, f.156v",27/11/20
good wheat,quarteranche,1620,24,"B258, f.156v",27/11/20
mixed grain,quarteranche,1620,20,"B258, f.156v",27/11/20
rye,quarteranche,1620,17,"B258, f.156v",27/11/20
barley,boisseau,1620,10,"B258, f.156v",27/11/20
oats,boisseau,1620,6,"B258, f.156v",27/11/20
hempseed,boisseau,1620,15,"B258, f.156v",27/11/20
peas,boisseau,1620,20,"B258, f.156v",27/11/20
beans,boisseau,1620,16,"B258, f.156v",27/11/20
lentils,boisseau,1620,15,"B258, f.156v",27/11/20
rapeseed,boisseau,1620,26,"B258, f.156v",27/11/20
Dijon best wine,queue,1620,900,"B258, f.156v",27/11/20
village best wine,queue,1620,600,"B258, f.156v",27/11/20
village good wine,queue,1620,480,"B258, f.156v",27/11/20
walnut oil,pint,1620,16,"B258, f.156v",27/11/20
rapeseed oil,pint,1620,13,"B258, f.156v",27/11/20
hempseed oil,pint,1620,12,"B258, f.156v",27/11/20
wax,pound,1620,17,"B258, f.156v",27/11/20
chickpeas,boisseau,1620,12,"B258, f.156v",27/11/20
best wheat,quarteranche,1621,26,"B259, f.137v",26/11/21
good wheat,quarteranche,1621,23,"B259, f.137v",26/11/21
mixed grain,quarteranche,1621,18,"B259, f.137v",26/11/21
rye,quarteranche,1621,15,"B259, f.137v",26/11/21
barley,boisseau,1621,11,"B259, f.137v",26/11/21
oats,boisseau,1621,8,"B259, f.137v",26/11/21
hempseed,boisseau,1621,14,"B259, f.137v",26/11/21
peas,boisseau,1621,19,"B259, f.137v",26/11/21
beans,boisseau,1621,16,"B259, f.137v",26/11/21
lentils,boisseau,1621,15,"B259, f.137v",26/11/21
rapeseed,boisseau,1621,28,"B259, f.137v",26/11/21
Dijon best wine,queue,1621,600,"B259, f.137v",26/11/21
village best wine,queue,1621,400,"B259, f.137v",26/11/21
village good wine,queue,1621,320,"B259, f.137v",26/11/21
walnut oil,pint,1621,16,"B259, f.137v",26/11/21
rapeseed oil,pint,1621,12,"B259, f.137v",26/11/21
hempseed oil,pint,1621,12,"B259, f.137v",26/11/21
wax,pound,1621,16,"B259, f.137v",26/11/21
chickpeas,boisseau,1621,12,"B259, f.137v",26/11/21
best wheat,quarteranche,1622,35,"B260, f.124",22/11/22
good wheat,quarteranche,1622,30,"B260, f.124",22/11/22
mixed grain,quarteranche,1622,23,"B260, f.124",22/11/22
rye,quarteranche,1622,20,"B260, f.124",22/11/22
barley,boisseau,1622,13,"B260, f.124",22/11/22
oats,boisseau,1622,9,"B260, f.124",22/11/22
hempseed,boisseau,1622,24,"B260, f.124",22/11/22
peas,boisseau,1622,28,"B260, f.124",22/11/22
beans,boisseau,1622,20,"B260, f.124",22/11/22
lentils,boisseau,1622,20,"B260, f.124",22/11/22
rapeseed,boisseau,1622,30,"B260, f.124",22/11/22
Dijon best wine,queue,1622,1080,"B260, f.124",22/11/22
village best wine,queue,1622,660,"B260, f.124",22/11/22
village good wine,queue,1622,560,"B260, f.124",22/11/22
walnut oil,pint,1622,16,"B260, f.124",22/11/22
rapeseed oil,pint,1622,14,"B260, f.124",22/11/22
hempseed oil,pint,1622,13,"B260, f.124",22/11/22
wax,pound,1622,16,"B260, f.124",22/11/22
chickpeas,boisseau,1622,14,"B260, f.124",22/11/22
best wheat,quarteranche,1623,22.5,"B261, f.163",28/11/23
good wheat,quarteranche,1623,19,"B261, f.163",28/11/23
mixed grain,quarteranche,1623,15,"B261, f.163",28/11/23
rye,quarteranche,1623,13,"B261, f.163",28/11/23
barley,boisseau,1623,10,"B261, f.163",28/11/23
oats,boisseau,1623,8,"B261, f.163",28/11/23
hempseed,boisseau,1623,25,"B261, f.163",28/11/23
peas,boisseau,1623,22.5,"B261, f.163",28/11/23
beans,boisseau,1623,18,"B261, f.163",28/11/23
lentils,boisseau,1623,18,"B261, f.163",28/11/23
rapeseed,boisseau,1623,36,"B261, f.163",28/11/23
Dijon best wine,queue,1623,780,"B261, f.163",28/11/23
village best wine,queue,1623,540,"B261, f.163",28/11/23
village good wine,queue,1623,440,"B261, f.163",28/11/23
walnut oil,pint,1623,16,"B261, f.163",28/11/23
rapeseed oil,pint,1623,18,"B261, f.163",28/11/23
hempseed oil,pint,1623,18,"B261, f.163",28/11/23
wax,pound,1623,15,"B261, f.163",28/11/23
chickpeas,boisseau,1623,12,"B261, f.163",28/11/23
best wheat,quarteranche,1624,22.5,"B262, f.122",19/11/24
good wheat,quarteranche,1624,20,"B262, f.122",19/11/24
mixed grain,quarteranche,1624,16,"B262, f.122",19/11/24
rye,quarteranche,1624,14,"B262, f.122",19/11/24
barley,boisseau,1624,8.5,"B262, f.122",19/11/24
oats,boisseau,1624,7,"B262, f.122",19/11/24
hempseed,boisseau,1624,20,"B262, f.122",19/11/24
peas,boisseau,1624,22,"B262, f.122",19/11/24
beans,boisseau,1624,18,"B262, f.122",19/11/24
lentils,boisseau,1624,16,"B262, f.122",19/11/24
rapeseed,boisseau,1624,40,"B262, f.122",19/11/24
Dijon best wine,queue,1624,560,"B262, f.122",19/11/24
village best wine,queue,1624,400,"B262, f.122",19/11/24
village good wine,queue,1624,320,"B262, f.122",19/11/24
walnut oil,pint,1624,16,"B262, f.122",19/11/24
rapeseed oil,pint,1624,16,"B262, f.122",19/11/24
hempseed oil,pint,1624,14,"B262, f.122",19/11/24
wax,pound,1624,16,"B262, f.122",19/11/24
chickpeas,boisseau,1624,12,"B262, f.122",19/11/24
best wheat,quarteranche,1625,25,"B263, f.133v",21/11/25
good wheat,quarteranche,1625,21,"B263, f.133v",21/11/25
mixed grain,quarteranche,1625,16,"B263, f.133v",21/11/25
rye,quarteranche,1625,14,"B263, f.133v",21/11/25
barley,boisseau,1625,9,"B263, f.133v",21/11/25
oats,boisseau,1625,7,"B263, f.133v",21/11/25
hempseed,boisseau,1625,27.5,"B263, f.133v",21/11/25
peas,boisseau,1625,22,"B263, f.133v",21/11/25
beans,boisseau,1625,16,"B263, f.133v",21/11/25
lentils,boisseau,1625,16,"B263, f.133v",21/11/25
rapeseed,boisseau,1625,35,"B263, f.133v",21/11/25
Dijon best wine,queue,1625,720,"B263, f.133v",21/11/25
village best wine,queue,1625,500,"B263, f.133v",21/11/25
village good wine,queue,1625,400,"B263, f.133v",21/11/25
walnut oil,pint,1625,18,"B263, f.133v",21/11/25
rapeseed oil,pint,1625,16,"B263, f.133v",21/11/25
hempseed oil,pint,1625,16,"B263, f.133v",21/11/25
wax,pound,1625,16,"B263, f.133v",21/11/25
chickpeas,boisseau,1625,12,"B263, f.133v",21/11/25
best wheat,quarteranche,1626,33,"B264, f.128v",24/11/26
good wheat,quarteranche,1626,28,"B264, f.128v",24/11/26
mixed grain,quarteranche,1626,24,"B264, f.128v",24/11/26
rye,quarteranche,1626,19,"B264, f.128v",24/11/26
barley,boisseau,1626,13,"B264, f.128v",24/11/26
oats,boisseau,1626,9,"B264, f.128v",24/11/26
hempseed,boisseau,1626,22,"B264, f.128v",24/11/26
peas,boisseau,1626,28,"B264, f.128v",24/11/26
beans,boisseau,1626,18,"B264, f.128v",24/11/26
lentils,boisseau,1626,20,"B264, f.128v",24/11/26
rapeseed,boisseau,1626,40,"B264, f.128v",24/11/26
Dijon best wine,queue,1626,960,"B264, f.128v",24/11/26
village best wine,queue,1626,720,"B264, f.128v",24/11/26
village good wine,queue,1626,600,"B264, f.128v",24/11/26
walnut oil,pint,1626,18,"B264, f.128v",24/11/26
rapeseed oil,pint,1626,15,"B264, f.128v",24/11/26
hempseed oil,pint,1626,15,"B264, f.128v",24/11/26
wax,pound,1626,16,"B264, f.128v",24/11/26
chickpeas,boisseau,1626,15,"B264, f.128v",24/11/26
best wheat,quarteranche,1627,34,"B265, f.130v",7/12/27
good wheat,quarteranche,1627,20,"B265, f.130v",7/12/27
mixed grain,quarteranche,1627,24,"B265, f.130v",7/12/27
rye,quarteranche,1627,22.5,"B265, f.130v",7/12/27
barley,boisseau,1627,16,"B265, f.130v",7/12/27
oats,boisseau,1627,10,"B265, f.130v",7/12/27
hempseed,boisseau,1627,30,"B265, f.130v",7/12/27
peas,boisseau,1627,30,"B265, f.130v",7/12/27
beans,boisseau,1627,20,"B265, f.130v",7/12/27
lentils,boisseau,1627,20,"B265, f.130v",7/12/27
rapeseed,boisseau,1627,34,"B265, f.130v",7/12/27
Dijon best wine,queue,1627,680,"B265, f.130v",7/12/27
village best wine,queue,1627,460,"B265, f.130v",7/12/27
village good wine,queue,1627,360,"B265, f.130v",7/12/27
walnut oil,pint,1627,16,"B265, f.130v",7/12/27
rapeseed oil,pint,1627,15,"B265, f.130v",7/12/27
hempseed oil,pint,1627,14,"B265, f.130v",7/12/27
wax,pound,1627,16,"B265, f.130v",7/12/27
chickpeas,boisseau,1627,15,"B265, f.130v",7/12/27
best wheat,quarteranche,1628,40,"B266, f.157v",4/12/28
good wheat,quarteranche,1628,35,"B266, f.157v",4/12/28
mixed grain,quarteranche,1628,30,"B266, f.157v",4/12/28
rye,quarteranche,1628,25,"B266, f.157v",4/12/28
barley,boisseau,1628,18,"B266, f.157v",4/12/28
oats,boisseau,1628,9,"B266, f.157v",4/12/28
hempseed,boisseau,1628,20,"B266, f.157v",4/12/28
peas,boisseau,1628,40,"B266, f.157v",4/12/28
beans,boisseau,1628,24,"B266, f.157v",4/12/28
lentils,boisseau,1628,35,"B266, f.157v",4/12/28
rapeseed,boisseau,1628,40,"B266, f.157v",4/12/28
Dijon best wine,queue,1628,1440,"B266, f.157v",4/12/28
village best wine,queue,1628,960,"B266, f.157v",4/12/28
village good wine,queue,1628,720,"B266, f.157v",4/12/28
walnut oil,pint,1628,16,"B266, f.157v",4/12/28
rapeseed oil,pint,1628,16,"B266, f.157v",4/12/28
hempseed oil,pint,1628,12,"B266, f.157v",4/12/28
wax,pound,1628,16,"B266, f.157v",4/12/28
chickpeas,boisseau,1628,18,"B266, f.157v",4/12/28
best wheat,quarteranche,1629,40,"B267, f.114",29/11/29
good wheat,quarteranche,1629,35,"B267, f.114",29/11/29
mixed grain,quarteranche,1629,30,"B267, f.114",29/11/29
rye,quarteranche,1629,26,"B267, f.114",29/11/29
barley,boisseau,1629,16,"B267, f.114",29/11/29
oats,boisseau,1629,9,"B267, f.114",29/11/29
hempseed,boisseau,1629,20,"B267, f.114",29/11/29
peas,boisseau,1629,35,"B267, f.114",29/11/29
beans,boisseau,1629,20,"B267, f.114",29/11/29
lentils,boisseau,1629,22,"B267, f.114",29/11/29
rapeseed,boisseau,1629,35,"B267, f.114",29/11/29
Dijon best wine,queue,1629,540,"B267, f.114",29/11/29
village best wine,queue,1629,360,"B267, f.114",29/11/29
village good wine,queue,1629,320,"B267, f.114",29/11/29
walnut oil,pint,1629,16,"B267, f.114",29/11/29
rapeseed oil,pint,1629,16,"B267, f.114",29/11/29
hempseed oil,pint,1629,12,"B267, f.114",29/11/29
wax,pound,1629,16,"B267, f.114",29/11/29
chickpeas,boisseau,1629,16,"B267, f.114",29/11/29
best wheat,quarteranche,1630,66,"B268, f.108",26/11/30
good wheat,quarteranche,1630,60,"B268, f.108",26/11/30
mixed grain,quarteranche,1630,55,"B268, f.108",26/11/30
rye,quarteranche,1630,50,"B268, f.108",26/11/30
barley,boisseau,1630,35,"B268, f.108",26/11/30
oats,boisseau,1630,18,"B268, f.108",26/11/30
hempseed,boisseau,1630,40,"B268, f.108",26/11/30
peas,boisseau,1630,60,"B268, f.108",26/11/30
beans,boisseau,1630,40,"B268, f.108",26/11/30
lentils,boisseau,1630,40,"B268, f.108",26/11/30
rapeseed,boisseau,1630,60,"B268, f.108",26/11/30
Dijon best wine,queue,1630,400,"B268, f.108",26/11/30
village best wine,queue,1630,280,"B268, f.108",26/11/30
village good wine,queue,1630,210,"B268, f.108",26/11/30
walnut oil,pint,1630,18,"B268, f.108",26/11/30
rapeseed oil,pint,1630,18,"B268, f.108",26/11/30
hempseed oil,pint,1630,20,"B268, f.108",26/11/30
wax,pound,1630,18,"B268, f.108",26/11/30
chickpeas,boisseau,1630,35,"B268, f.108",26/11/30
